SKU,ProductName,RetailPrice,Category,OnSpecialPricing,EffectiveDate,Status,UpdatedOn,Size
019066,JIM BEAM                           750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
019068,JIM BEAM                          1750ml,38.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
019112,JIM BEAM DEVILS CUT                750ml,23.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
019226,KNOB CREEK BOURBON                 750ml,38.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
019477,MAKERS MARK BOURBON              1000 ml,35.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
019478,MAKERS MARK BOURBON              1750 ml,62.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
019486,MAKERS MARK BRBN 46       750ml,37.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
020366,OLD FORESTER 86 PRF BOURBON        750ml,22.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
022102,WILD TURKEY LONGBRANCH             750ml,37.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
022157,WILD TURKEY 101                   1000ml,32.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
022175,RUSSELL'S RESERVE 10YR             750ml,39.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
022207,WOODFORD RESERVE DISTILLER SELEC 1750 ml,66.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
022241,WOODFORD RESERVE MALT              750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
022244,YELLOWSTONE SELECT BOURBON         750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
022257,WOODFORD RESERVE STRAIGHT WHEAT    750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
022531,BULLEIT SINGLE MALT                750ml,59.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
022779,JIM BEAM PINEAPPLE                 750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
023708,FLEISCHMANNS PREFERRED WHISKEY BL 1750ml,17.04,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
025055,DENTED BRICK RYE WHISKEY           750ml,36.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
025567,DENTED BRICK CRAFT WHISKEY        1000ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
025608,SEAGRAMS 7 CROWN                  1750ml,25.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
025746,UNCLE NEAREST GREEN TENN WHISKEY   750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
025940,REBEL STRAIGHT RYE WHISKEY 100PR   750ml,22.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
025941,ELIJAH CRAIG RYE                   750ml,34.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
026086,BIRD DOG HONEY WHISKEY             750ml,18.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
026363,BIRD DOG SALTED CARAMEL            750ml,18.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
026586,GENTLEMAN JACK                     750ml,32.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
026589,GENTLEMAN JACK                    1750ml,56.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
026665,TIN CUP RYE WHISKEY                750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
026707,UNCLE NEAREST 1884 SMALL BATCH     750ml,43.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
026720,PORTER'S RYE 95    750ml,27.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
026826,JACK DANIELS BLACK LABEL           750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
026827,JACK DANIELS BLACK LABEL          1000ml,29.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
026828,JACK DANIELS BLACK LABEL          1750ml,49.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
026906,JACK DANIELS SINGLE BARREL         750ml,53.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
026970,WOODINVILLE STRAIGHT BOURBON WHISKEY  75,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,
027025,BULLEIT 95 RYE WHISKEY             750ml,32.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027037,GEORGE DICKEL RYE WHISKY           750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027040,HIGH WEST DOUBLE RYE WHISKEY       750ml,37.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027048,KNOB CREEK RYE WHISKEY             750ml,34.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027056,JIM BEAM RYE 4YR                   750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027079,REDEMPTION RYE WHISKEY             750ml,22.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027094,HIGH WEST RENDEZVOUS RYE WHISK     750ml,70.98,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027102,TEMPLETON 4YR RYE WHISKEY          750ml,29.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027117,WILD TURKEY 101 RYE               1000ml,33.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
027130,WOODFORD RESERVE RYE               750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027189,BASIL HAYDEN DARK RYE BOURBON      750ml,42.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027380,ANGELS ENVY FINISHED RYE           750ml,79.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027410,JIM BEAM HONEY                     750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027434,BIRD DOG PEACH WHISKEY             750ml,18.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027475,BIRD DOG BLACKBERRY WHISKEY        750ml,18.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027523,HIGH WEST CAMPFIRE BLENDED WHISKE  750ml,72.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027544,RED STAG BLACK CHERRY BY JIM BEAM  750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027560,STRANAHAN'S COLORADO WHISKEY       750ml,57.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027605,TIN CUP WHISKEY                    750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027650,WYOMING WHISKEY SMALL BATCH        750ml,49.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027742,SUGAR HOUSE MALT WHISKEY           750ml,46.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
027783,JIM BEAM APPLE WHISKEY             750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
027878,SUGAR HOUSE BOURBON WHISKEY        750ml,37.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028043,JIM BEAM VANILLA WHISKEY           750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028052,ALPINE LAFAYETTE  SPCD WSKY        750ml,26.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
028086,BEEFEATER GIN                      750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028167,ALPINE AMERICAN WHISKEY            750ml,36.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
028206,BOMBAY GIN                         750ml,23.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028236,BOMBAY SAPPHIRE GIN                750ml,27.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028279,JIM BEAM PEACH                     750ml,20.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028477,EMPRESS 1908 GIN INDIGO     750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028485,FORDS GIN                          750ml,27.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028627,HENDRICKS GIN                    1000 ml,39.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
028628,HENDRICKS GIN                     1750ml,76.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
028778,ROKU GIN                           750ml,34.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028812,SIPSMITH LONDON DRY GIN            750ml,29.0,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
028866,TANQUERAY GIN                      750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028886,TANQUERAY TEN GIN                  750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
028890,TANQUERAY RANGPUR GIN              750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
029082,ASKUR 45 GIN ICELAND               750ml,25.99,Special,No,2025-07-01,S,2025-08-22 21:57:49,750
029119,AVIATION AMERICAN GIN              750ml,28.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
029327,BEEHIVE DECADE DRY GIN             750ml,24.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
029566,BURNETTS GIN                       750ml,9.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
029568,BURNETTS GIN                      1750ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
029835,CASAL GARCIA VINHO VERDE WHITE    750ml,7.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
029911,DENTED BRICK CRAFT GIN 1000ml,16.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
029913,DENTED BRICK PREMIUM GIN           750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
030322,GRAY WHALE GIN                     750ml,34.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
031473,NEW AMSTERDAM GIN                 1750ml,27.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
031475,NEW AMSTERDAM GIN                  750ml,19.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
032112,SALT CITY LAKESIDE GIN             750ml,19.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
032236,SEAGRAMS EXTRA DRY GIN             750ml,17.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
032650,UNCLE VAL'S BOTANICAL GIN          750ml,34.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
033256,SEAGRAMS LIME TWISTED GIN          750ml,17.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
033303,WILD ROOTS CUCUMBER GRPFRT GIN     750ml,21.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
033467,ABSOLUT LIME                       750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
033663,SVEDKA STRAWBERRY LEMON VODKA      750ml,15.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034006,ABSOLUT VODKA                      750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034008,ABSOLUT VODKA                     1750ml,44.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
034014,ABSOLUT APEACH                     750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034026,ABSOLUT PEPPAR VODKA               750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034030,ABSOLUT CITRON VODKA               750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034032,ABSOLUT CITRON VODKA              1750ml,44.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
034036,ABSOLUT PEARS VODKA                750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034052,ABSOLUT RASPBERRI VODKA            750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034116,ABSOLUT MANDRIN VODKA              750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034122,CRYSTAL HEAD VODKA                 750ml,51.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
034244,CHOPIN VODKA                       750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034368,FRIS VODKA                        1750ml,14.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
034422,GREY GOOSE VODKA                  1000ml,31.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
034433,GREY GOOSE VODKA                   750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034449,KETEL ONE CITROEN VODKA            750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034456,KETEL ONE VODKA                    750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034457,KETEL ONE                         1000ml,26.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
034510,MONOPOLOWA POTATO VODKA           1000ml,17.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
034515,MONOPOLOWA POTATO VODKA           1750ml,26.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
